,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,Date
455,197008070003,1970,8,7,,0,,217,United States,1,North America,California,San Rafael,"37,97457","-122,532474",1.0,0,,,1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),14.0,Judge/Attorney/Court,,County Courthouse,217.0,United States,,,,,,,,,,,,,,,,,Jonathan Jackson Brigade,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),5.0,Firearms,3.0,Handgun,,,,,,,,,Shotgun; Pistols,4.0,4.0,,2.0,2.0,,1,3.0,Minor (likely < $1 million),1000.0,,1.0,2.0,0.0,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,,1970-08-07
461,197008150001,1970,8,15,,0,,217,United States,1,North America,Mississippi,West Point,"33,60651","-88,650419",1.0,0,Parking lot of a West Point grocery store,"8/15/1970: John Thomas was shot to death in his car in West Point, Mississippi, United States.  Thomas was a civil rights activist who previously led the campaign of a Black mayoral candidate.  The shooter, Seth Stanley, a White male, was found not guilty by means of self defense by an all-White jury.",1,1,1,1,2.0,Other Crime Type,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,68.0,Named Civilian,,John Thomas,217.0,United States,,,,,,,,,,,,,,,,,White supremacists/nationalists,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"John Thomas was one of the accused perpetrators of 197001250001.  Seth Stanley was acquitted based on a successful argument of self defense, but it is important to note that John Thomas was shot as he was sitting in his truck.  A Black boycott of White-owned businesses in West Point was initiated as a result of this incident.","""Mississippi White Cleared in Killing,"" New York Times, October 12, 1971.","""Kin of NAACP Lobbyist Mitchell Wins Balto Primary Recount,"" New Pittsburgh Courier, October 10, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,0,-9,,1970-08-15
463,197008170002,1970,8,17,,0,,217,United States,1,North America,Minnesota,Minneapolis,"44,964985","-93,260193",1.0,0,Third Avenue South,"8/17/1970: Unknown perpetrators placed twenty sticks of dynamite in an a federal office building housing the Armed Forces Examination Center in Minneapolis, Minnesota, United States.  The resulting explosion knocked a night watchman unconscious and caused an estimated $500,000 in damage to the building.  Windows were shattered at buildings within a one block radius of the explosion.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,US Army Induction Center,"Armed Forces Examination Center, Minneapolis Minnesota",217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest and sabotage the draft and the US Army,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Twenty sticks of dynamite,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),500000.0,Extensive damage to the building and windows shattered at buildings within the surrounding area,0.0,,,,,,,0.0,,,,,,,,,"The federal office building had been the site of many anti-war demonstrations.  Following the explosion, police reported six false bomb threats in Minneapolis.  Police Officer Joseph Christy was knocked unconscious by the blast but he would recover from his injuries.","""Bombs Kill Officer, Rip U.S. Building,"" Washington Post, August 18, 1970.","""Minneapolis Bomb 'Very Well Placed,'"" New York Times, August 19, 1970.","""Explosion Rips Federal Building At Minneapolis,"" The Evening Independent, August 17, 1970.",Hewitt Project,-9,-9,0,-9,,1970-08-17
468,197008200003,1970,8,20,,0,,217,United States,1,North America,California,Berkeley,"37,874043","-122,280022",1.0,0,Intersection of Union Street and Jefferson Street,"8/20/1970: Police Officer Ronald T. Tsukamoto was shot and killed by an unknown perpetrator in Berkeley, California, United States.  While writing a ticket for a motorcyclist, a man walked up to Officer Tsukamoto and shot him  twice with a revolver.  The perpetrator immediately jumped in a car driven by an African American male and sped away.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Berkeley Police Department,Berkeley police officer,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Revolver,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"In 2005, police arrested Styles Frederick Price and Don Juan Warren Graphenreed, believing that Price carried out the murder and Graphenreed drove the getaway car.  However, the District Attorney of Alameda County declined to charge the suspects.  In 1970, there were two other police officers murdered by suspected Black Nationalists in the Northern California area while they were making traffic stops (197008060004 and 197006190004).","""Young Policeman Slain In Berkeley,"" New York Times, August 21, 1970.","Dorothy Vriend, ""D.A. Declines To Charge Suspects In '70 Slaying,"" Contra Costa Times, August 19, 1970.","""Officer Slain Writing Ticket,"" St. Petersburg, August 21, 1970.",Hewitt Project,-9,-9,0,-9,,1970-08-20
471,197008220001,1970,8,22,,0,,217,United States,1,North America,Minnesota,St. Paul,"44,943829","-93,093326",1.0,0,Restroom,"8/22/1970: Gary Hogan, a suspected member of the Black Panthers Party, placed two time bombs in Dayton's Department Store in St. Paul, Minnesota, United States.  The first bomb detonated severely injuring one woman and causing damages to the restroom.  The second bomb, ten times more powerful that the first, was discovered and disarmed outside of the restroom by police.  It is believed that the second bomb was intended to kill police officers responding to the scene of the first bomb.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,3,Police,25.0,Police Security Forces/Officers,St. Paul Police Department,St. Paul Police Officers responding to a bombing,217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,To kill police,1.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,One time bomb consisting of two sticks of dynamite and another time bomb consisting of twenty sticks of dynamite,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),,Restroom damaged,0.0,,,,,,,0.0,,,,,,,,,"Mary Peek was seriously injured but would survive her wounds.  Following the bombing, there were many bomb threats in St. Paul and Minneapolis.  Gary Hogan would also be convicted for planting a diversionary bomb as part of an attempted robbery of the First Grand Avenue Bank in St. Paul ten days later.","Nick Coleman, ""Knowing My Place: The Victim of 8/22,"" St. Paul Pioneer Press, September 1, 2002.","""Woman Injured By Bomb Blast In Minnesota,"" Baltimore Sun, August 24, 1970.","""Bomb Blast Injured Minneapolis Shopper,"" Schenectady Gazette, August 24, 1970.",Hewitt Project,0,0,0,0,,1970-08-22
500,197009050001,1970,9,5,,0,,217,United States,1,North America,Iowa,DeWitt,"41,82277","-90,538969",1.0,0,,"9/5/1970: Don Clayton McMain threw a hand grenade simulator into the DeWitt Police Station in DeWitt, Iowa, United States.  Two police officers were injured and the building sustained minor damages.",1,1,1,1,2.0,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",DeWitt Police Department,DeWitt Police Station,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,6,Explosives,7.0,Grenade,,,,,,,,,,,,,Hand Grenade Simulator,0.0,0.0,0.0,2.0,2.0,0.0,1,3.0,Minor (likely < $1 million),,Damaged front door and scorched floor,0.0,,,,,,,0.0,,,,,,,,,"Police officers Harry Roeder and Ben Burken, stationed in the rear of the police station, were injured in the bombing.  Authorities were unsure of the motive behind the attack.","""Bomb Rocks Manson Trial Building,"" New York Times, September 6, 1970.","""2 Hurt As Explosion Rips Police Station,"" Baltimore Sun, September 6, 1970.","""Two Hurt In Bomb Explosion,"" Herald-Journal, September 6, 1970.",Hewitt Project,-9,-9,0,-9,,1970-09-05
518,197009180002,1970,9,18,,0,,217,United States,1,North America,Ohio,Toledo,"41,67086","-83,543846",1.0,0,Dorr Street,"9/18/1970: Police Officer William Albert Miscannon was sitting in his police car in Toledo, Ohio, United States, near the headquarters of the Black Panther Party, when an unknown perpetrator walked up to his car and shot the officer three times.  Officer Miscannon was killed and his partner Officer Walter Shaw, who was also sitting in the car, was treated for shock.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Toledo Police Department,Toledo Police officer stationed outside of the Black Panther Party Headquarters,217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,To kill police,1.0,,,0,1.0,0.0,0.0,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Silver handgun fired three times,1.0,1.0,0.0,1.0,1.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"Following the attack there was a gunfight between the Toledo Police and Black Panthers.  The Police raided the headquarters of the Black Panther party an hour after the incident which directly led to the demise of the BPP within Toledo.  John McClellan was accused of carrying out the attack, but after three trials, two of which resulted in hung juries, he was acquitted.","Agis Salpukas, ""A Toledo Policeman Is Shot Dead in Patrol Car,"" New York Times, September 19, 1970.","Joshua Boak, ""After 36 Years, Slain Officer's Daughter Feels Loss,"" Toledo Blade, February 22, 2007.","""Bloody Chapters Added To Panther Saga,"" Afro-American, September 26, 1970.",Hewitt Project,0,0,0,0,,1970-09-18
558,197010150006,1970,10,15,,0,,217,United States,1,North America,Missouri,Kansas City,"39,176086","-94,574127",1.0,0,Side door of building,"10/15/1970: Unknown perpetrators bombed a Police Storefront Center in Kansas City, Missouri, United States.  The Storefront Center was an experimental program focusing on improving relations between police and the African American community of Kansas City.  The building was damaged and Officers Kenneth Fleming and Charles Robinson were injured.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Kansas City Police Department,"Police Storefront Center, Kansas City Missouri",217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0.0,0.0,0.0,2.0,2.0,0.0,1,3.0,Minor (likely < $1 million),,Door shattered and interior of building damaged,0.0,,,,,,,0.0,,,,,,,,,Police were unsure whether the bomb was thrown or placed at the building.,"Warren Weaver Jr., ""President Stumps For Gore's Rival,"" New York Times, October 21, 1970.","Jerry Sullivan, ""Bombing Raises Ire Of Black Community,"" Free Lance-Star, October 17, 1970.","""Nixon Sees 2 Wounded Policemen,"" Schenectady Gazette, October 21, 1970.",Hewitt Project,-9,-9,0,-9,,1970-10-15
571,197010240004,1970,10,24,,0,,217,United States,1,North America,Illinois,Cairo,"37,005105","-89,176269",1.0,0,Washington Avenue,"10/24/1970: Fifteen to eighteen Black militants, dressed in military fatigues and armed with rifles, opened fire on police headquarters in Cairo, Illinois, United States, three separate times during a six hour period.  Police were able to repel each of the three attacks.  One Black militant was injured and one bystander was hit by a stray bullet.  Buildings in the surrounding area were also damaged by bullets.  In response to this attack, the mayor claimed that there was an ""open armed insurrection"" taking place in Cairo.",1,1,1,0,,,1,1,0,2,Armed Assault,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Cairo Police Department,Cairo Police Headquarters,217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,To kill police,1.0,,,0,16.0,0.0,0.0,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Rifles,0.0,0.0,0.0,2.0,2.0,1.0,1,3.0,Minor (likely < $1 million),,Police station and buildings in surrounding area were damaged by bullets,0.0,,,,,,,0.0,,,,,,,,,"This might be part of a multiple attack with (197010240003) which took place in Cairo an hour earlier.  Snipers fired upon the police headquarters less than a week earlier (197010210003).  This first attack on the police station took place at 8:15 PM, the second attack took place at 10:15 PM, and the third attack took place at 2:10 AM on October 25th.  The final attack took thirty-five minutes and hundreds of rounds were fired.  Some of the gunmen emerged from the building that acted as the headquarters of the Black United Front, an organization which was directing a boycott of White owned businesses in Cairo at the time.  The Mayor of Cairo, Albert Thomas, believed that some of the Black militants were members of the Black Panther Party, however, the Black Panthers denied any involvement in the attacks.  State troopers were ordered into Cairo as a result of the attacks.","""Armed Negroes Attack Police Station in Cairo, Ill."" New York Times, October 25, 1970.","""State Troopers on Duty in Cairo,"" New York Times, October 26, 1970.","""Riflemen Attack Police Station,"" Deseret News, October 24, 1970.",Hewitt Project,0,0,0,0,"197010240003, 197010240004",1970-10-24
572,197010250001,1970,10,25,,0,,217,United States,1,North America,District of Columbia,Washington,"38,908642","-77,015381",1.0,0,On conveyor belt,"10/25/1970: Unknown perpetrators sent a mail bomb that exploded at the main post office in Washington D.C., United States.  The bomb caused no damage to the building, but one person was injured.  Minutes after the explosion, an anonymous phone caller told the post office, apparently unaware that the bomb already detonated, to evacuate the building because there was a bomb.  Authorities were unable to determine who the mailbomb was intended for.",1,1,1,1,2.0,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Post Office,"Main Post Office, Washington D.C.",217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,6,Explosives,14.0,Time Fuse,,,,,,,,,,,,,"The bomb was wrapped in brown paper and police discovered remnants of black powder, a battery, and a timing device.",0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),,One bag of mail was destroyed,0.0,,,,,,,0.0,,,,,,,,,"Walter Smith, a post office employee, was treated for shock.","Henry Aubin and B. D. Colen, ""Mail Parcel Explodes in Post Office,"" Washington Post, October 26, 1970.","""Package Explodes in D.C. Post Office,"" Baltimore Sun, October 26, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.",Hewitt Project,-9,-9,0,-9,,1970-10-25
588,197011010004,1970,11,1,,0,,217,United States,1,North America,Pennsylvania,New Castle,"41,001845","-80,34724",1.0,0,Outside of Rainbow Gardens Bar,"11/1/1970: African American Ronald Mitchell was killed in a drive-by shooting by suspected White Racists in New Castle, Pennsylvania, United States.  His death sparked violent race riots throughout the city.",1,1,1,1,2.0,Other Crime Type,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Black person,Ronald Mitchell,217.0,United States,,,,,,,,,,,,,,,,,White supremacists/nationalists,,,,,,Suspected motive was to intimidate the African American community of New Castle Pennsylvania.,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Drive-by shooting.,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"This attack directly led to the outbreak of riots by the African American community of New Castle, Pennsylvania.","""Slaying Spurs Disorders,"" New York Times, November 2, 1970.","""Murder of Black Veteran Triggers New Castle Riot,"" New Pittsburg Courier, November 7, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,0,-9,,1970-11-01
595,197011080001,1970,11,8,,0,,217,United States,1,North America,Illinois,Cairo,"37,005105","-89,176269",1.0,0,,"11/8/1970: Shortly after a lumber yard owned by Robert Cunningham, a former leader of a White vigilante group in Cairo, Illinois, United States, was set on fire, Wiley Anderson, an African American, was shot four times as he was walking in the Pyramid Court Housing Projects in Cairo.  Leaders of Cairo's African American community believed that Anderson was shot by White snipers firing indiscriminately into the predominantly Black housing projects.  Anderson died from his wounds two weeks later.",1,1,1,1,2.0,Other Crime Type,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,African Americans,African Americans walking in the Pyramid Court Housing Project in Cairo Illinois,217.0,United States,,,,,,,,,,,,,,,,,White supremacists/nationalists,,,,,,To kill African Americans,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"This incident occurred a short time after the lumber yard of Cairo Illinois was set on fire (197011070002).  Wiley Anderson was a sergeant on leave from the army.  Members of the United Front, an organization directing an African American boycott of White owned business in Cairo, believed that the sniper fire was coming from two different directions.  The United Front also stated that Walter Garrett, who was walking with Wiley Anderson at the time, was also shot.  However, the police dispute this claim.  The FBI stated that there was no evidence that any federal statutes were violated and the police were unsure who shot Wiley Anderson.","""Cairo Plant Burns During Racial Clash,"" Washington Post, November 9, 1970.","""Panther Trial Judge Reverses Ruling, Allows Tapes,"" Washington Post, December 1, 1970.","""Cairo Disturbances,"" Reading Eagle, November 9, 1970.",Hewitt Project,-9,-9,0,-9,,1970-11-08
604,197011150002,1970,11,15,,0,,217,United States,1,North America,Florida,St. Petersburg,"27,771185","-82,639319",1.0,0,22nd Avenue S,"11/15/1970: Police Officers John B. Horton and George A. Gatchel were beat up by African Americans in St. Petersburg, Florida, United States.  A car driving erratically was used to lure a police patrol car to a parking lot.  When Officers Horton and Gatchel got out of their car, two vehicles filled with ten to fifteen people sped into the lot.  Armed with rocks, bottles, plywood, and sticks the men got out of the car and injured both police officers.  The St. Petersburg Chief of Police  believed that the perpetrators were inspired by the many assaults on policemen by ""revolutionary extremists"" throughout the United States.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,St. Petersburg Police Department,Indiscriminate St. Petersburg Police Officers,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To injure police,0.0,,,0,12.0,-99.0,0.0,,,,,,,,,,9,Melee,21.0,Blunt Object,9.0,Melee,22.0,"Hands, Feet, Fists",,,,,,,,,"Fist, feet, rocks, bottles, sticks, and two-by-two piece of plywood",0.0,0.0,0.0,2.0,2.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"Both officers received injuries to their faces.  Officer Horton required thirteen stitches and officer Gatchel required eight stitches.  Three days later, a White revolutionary firebombed a police car in St. Petersburg and stated his support for the ""Black brothers"" who beat up the police officers (197011180001).","Guy Kovner, ""2 Policemen Are Beaten,"" St. Petersburg, November 18, 1970.","Mike Foley, ""3 Arrested At Scene, 2 Policemen Beaten,"" Evening Independent, November 16, 1970.","""Two Men Plead Innocent,"" St. Petersburg, November 21, 1970.",Hewitt Project,-9,-9,0,-9,,1970-11-15
612,197011210003,1970,11,21,,0,,217,United States,1,North America,Oregon,Portland,"45,511795","-122,675629",1.0,0,The incident occurred at City Hall.,"11/21/1970: Unknown perpetrators bombed a replica of the Liberty Bell that was located behind City Hall in Portland, Oregon, United States.  The blast destroyed the bell, damaged the front doors of City Hall, and shattered windows of buildings in the surrounding area.  A janitor was also injured by flying debris.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,Liberty Bell,Replica of Liberty Bell located at Portland City Hall,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Dynamite bomb,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),,"Liberty Bell destroyed, doors of City Hall damaged, furniture in City Hall upended, and windows within a three block radius of the blast were shattered.",0.0,,,,,,,0.0,,,,,,,,,"The bomb detonated at 2:55 AM.  No group claimed responsibility but authorities suspected that the perpetrators were part of the ""protest community.""","""Liberty Bell Copy Blown Up,"" New York Times, November 22, 1970.","Jim Redden, ""Tumultuous Times Fattened the Files,"" Portland Tribune, October 30, 2009.","""Portland's City Hall Hit by Blast,"" Spokane Daily Chronicle, November 21, 1970.",Hewitt Project,-9,-9,0,-9,,1970-11-21
669,197101150004,1971,1,15,,0,,217,United States,1,North America,New York,New York City,"40,697132","-73,931351",1.0,0,The Bronx,"1/15/1971: In a series of related incidents, an unknown perpetrator bombed a Marine Recruiting Station located in the National Bronx Bank Building in the Bronx, New York, United States.  Two people were injured and the bomb caused minor damage.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,4,Military,28.0,Military Recruiting Station/Academy,Marine Recruiting Station,Marine Recruiting Station housed in the National Bronx Bank Building,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To protest and sabotage the US Military,0.0,,,0,1.0,-99.0,0.0,,,,,,,,,,6,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,Pipe bomb placed in a shopping bag,0.0,0.0,0.0,2.0,2.0,0.0,1,3.0,Minor (likely < $1 million),,Slight damage to the recruiting station,0.0,,,,,,,0.0,,,,,,,,,This is part of a multiple attack with 197101150005.  The bomb exploded at 11:00 AM.  The two people injured were Sgt. Leonard Godfrey and Pedro Torres.  Godfrey stated that he noticed a man place a shopping bag at the station which eventually blew up.,"""2 Recruiting Stations Bombed in N.Y.,"" Washington Post, January 16, 1971.","""N.Y. Police Curtail Work In Protest Over Pay Issue,"" Baltimore Sun, January 16, 1971.","""Bombs Hit N.Y. Offices of Military,"" Afro-American, January 19, 1971.",Hewitt Project,-9,-9,0,-9,"197101150004, 197101150005",1971-01-15
681,197101240002,1971,1,24,,0,,217,United States,1,North America,New York,New York City,"40,697132","-73,931351",1.0,0,Manhattan,"1/24/1971: At around 8:00 AM, a member of the Black Liberation Army flagged down a police officer driving his radio car in Manhattan, New York, United States.  When the cop pulled over, the perpetrator began stabbing the officer with a knife.  The officer then shot and killed the assailant.  That morning, the New York Times received two anonymous calls stating that a New York policeman would be killed at 8:00 AM unless the BLA received $100,000.",1,1,1,1,2.0,Other Crime Type,0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,New York Police Department,Indiscriminate New York policeman,217.0,United States,,,,,,,,,,,,,,,,,Black Liberation Army,,,,,,To kill police,0.0,,,0,1.0,0.0,1.0,3.0,Call (pre-incident),,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,Knife,1.0,1.0,1.0,1.0,1.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"The police officer recovered from his stab wounds.  Josh Smith, a man purporting to be from the Black Liberation Army, called New York Channel 7 after the incident claiming that ""no longer will the pig hatchet men plant their heels on our people.""  He stated that the next two people to be targeted would be the commissioner and deputy commissioner of the New York Police Department.","Robert Daley, ""Target Blue,"" Delacorte Press, 1973.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,0,0,0,0,,1971-01-24
730,197102200003,1971,2,20,,0,,217,United States,1,North America,Florida,Miami,"25,774591","-80,214195",1.0,0,Liberty City,"2/20/1971: Miami Police Officer Victor Butler Jr. was ambushed by suspected members of the Black Afro-militant Movement (BAMM) in Miami, Florida, United States.  The bullets struck him in the chest and back and he died instantly.  BAMM members John Lane and John Murray Johnson were indicted of the murder but the charges were dropped when the police witness, and fellow BAMM member Jan Thurston, recanted his confession.  Police eventually indicted Thurston for the murder but charges against him were also dropped because a judged ruled that he was questioned without probable cause.",1,1,1,1,2.0,Other Crime Type,0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Miami Police Officer,,217.0,United States,,,,,,,,,,,,,,,,,Black Afro Militant Movement,,,,,,To promote violence against the establishment,1.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Two .30 caliber rifle slugs,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"Victor Butler was an African American.  In his original confession, Thurston stated that he was in a car with 3-5 people that dropped Lane and Johnson off to commit the murder.  The Miami Police Department considers the case closed since Lane, Johnson, and Thurston, who the department believed to be involved in the incident, were arrested.","Dr. William Wilbanks, ""Forgotten Heroes: Police Officers Killed in Dade County,"" Turner Publishing Company, 1996.",,,Hewitt Project,0,0,0,0,,1971-02-20
755,197103080005,1971,3,8,,0,,217,United States,1,North America,Missouri,St. Louis,"38,62774","-90,199514",1.0,0,,,1,1,0,1,1.0,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,28.0,Military Recruiting Station/Academy,,ROTC Building,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,10.0,10.0,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,,1971-03-08
794,197104020003,1971,4,2,,0,,217,United States,1,North America,California,Riverside,"33,953349","-117,396156",1.0,0,4792 Ottawa Ave.,"4/2/1971: Police Officers Leonard A. Christiansen and Paul C. Teel were ambushed while on duty in Riverside, California, United States.  The officers, responding to a fake burglary call, were shot and killed as they got out of their car.  Police believed that the attack was carried out by three Black militants.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Riverside Police Department,Indiscriminate Riverside Police Officers,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0.0,,,0,3.0,-99.0,0.0,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Shotguns,2.0,2.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Police car damaged,0.0,,,,,,,0.0,,,,,,,,,"Officer Christiansen was killed instantly, while Officer Teel survived long enough to call for help, but died on his way to the hospital.  This incident took place during racial tension in Riverside California.  Three African Americans; Civil Rights leader Gary Lawton, Nehemiah Jackson and Larrie Gardner, were tried three times for the murders, but were never convicted.","Jon R. Waltz, ""Beneath the Wheels of Justice; The Ambush Murders,"" Washington Post, November 25, 1979.","""Officer Leonard Christiansen and Officer Paul Teel,"" Riverside Police Department Safe In His Arms Memorial, 2009. <http://www.riversideca.gov/rpd/memorial/chrstn_teal.htm>.",,Hewitt Project,-9,-9,0,-9,,1971-04-02
